RANK	TITLE									SCORE	MEMBERS
----	-----									-----	-------
1	Death Note								8.67	1,540,577
2	Shingeki no Kyojin							8.48	1,431,713
3	Sword Art Online							7.60	1,378,045
4	Fullmetal Alchemist: Brotherhood					9.25	1,284,848
5	One Punch Man								8.71	1,114,360
6	Tokyo Ghoul								7.99	1,088,445
7	Steins;Gate								9.14	1,083,080
8	Angel Beats!								8.30	1,064,413
9	Naruto									7.89	1,041,294
10	Code Geass: Hangyaku no Lelouch						8.78	1,040,972
11	No Game No Life								8.39	1,040,594
12	Mirai Nikki								7.86	1,020,554
13	Toradora!								8.38	964,662
14	Ao no Exorcist								7.81	911,818
15	Noragami								8.14	910,862
16	Sword Art Online II							7.18	884,837
17	Boku no Hero Academia							8.43	876,211
18	Elfen Lied								7.74	872,808
19	Fairy Tail								8.05	864,225
20	Bleach									7.89	858,364
21	Naruto: Shippuuden							8.18	848,048
22	Tengen Toppa Gurren Lagann						8.73	835,095
23	Code Geass: Hangyaku no Lelouch R2					8.94	834,778
24	Akame ga Kill!								7.78	831,379
25	Soul Eater								8.02	831,218
26	Fullmetal Alchemist							8.28	826,914
27	Kimi no Na wa.								9.16	822,891
28	Kill la Kill								8.19	813,924
29	Another									7.74	813,215
30	Psycho-Pass								8.44	797,861
31	Hunter x Hunter (2011)							9.11	786,415
32	Re:Zero kara Hajimeru Isekai Seikatsu					8.41	785,948
33	Durarara!!								8.28	781,878
34	Shigatsu wa Kimi no Uso							8.87	778,251
35	Highschool of the Dead							7.34	775,586
36	Clannad									8.20	773,494
37	One Piece								8.53	766,704
38	Cowboy Bebop								8.81	757,772
39	Boku dake ga Inai Machi							8.55	757,683
40	Sen to Chihiro no Kamikakushi						8.91	752,538
41	Tokyo Ghoul √A								7.41	736,176
42	Kiseijuu: Sei no Kakuritsu						8.51	727,005
43	Shingeki no Kyojin Season 2						8.45	724,685
44	Fate/Zero								8.43	706,627
45	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.		8.54	703,258
46	Bakemonogatari								8.35	702,828
47	Death Parade								8.25	699,671
48	Nanatsu no Taizai							8.26	698,891
49	Boku no Hero Academia 2nd Season					8.73	693,721
50	Neon Genesis Evangelion							8.32	683,913
51	Hataraku Maou-sama!							7.96	672,144
52	Guilty Crown								7.72	671,990
53	Mahou Shoujo Madoka★Magica						8.45	670,560
54	Shokugeki no Souma							8.53	663,974
55	Deadman Wonderland							7.39	661,630
56	Kono Subarashii Sekai ni Shukufuku wo!					8.17	643,842
57	Clannad: After Story							9.00	636,750
58	Ansatsu Kyoushitsu							8.21	632,194
59	High School DxD								7.59	625,140
60	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka		7.82	607,726
61	Chuunibyou demo Koi ga Shitai!						7.88	597,226
62	Noragami Aragoto							8.40	593,772
63	Kuroshitsuji								7.98	589,460
64	Sakurasou no Pet na Kanojo						8.32	589,445
